id,name,ep,len,score
beaking-bad, Breaking Bad, 62, 49, 10
parasite, Parasite, 1, 132, 10
sonic-the-hedgehog, Sonic the Hedgehog, 1, 99, 9
rick-and-morty, Rick and Morty, 41, 23, 9
the-dictator, The Dictator, 1, 99, 9
ace-ventura-pet-detective, Ace Ventura: Pet Detective, 1, 87, 9
ace-ventura-when-nature-calls, Ace Ventura: When Nature Calls, 1, 100, 8
dumb-and-dumber,Dumb and Dumber, 1, 113, 8
dumb-and-dumber-to, Dumb and Dumber To, 1, 99, 8
yes-man, Yes Man, 1, 104, 8
me-myself-and-irene, Me Myself & Irene, 1, 116, 8
truman-show, The Truman Show, 1, 103, 7
the-imitation-game, The Imitation Game, 1, 114, 7
v-for-vendetta, V for Vendetta, 1, 133, 7
bruce-almighty, Bruce Almighty, 1, 101, 7
how-the-grinch-stole-christmas, How the Grinch Stole Christmas, 1, 110, 7
the-majestic, The Majestic, 1, 152, 6
liar-liar, Liar Liar, 1, 87, 6
number-23, The Number 23, 1, 98, 5
the-cable-guy, The Cable Guy, 1, 96, 4
